,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
204,火车头,HCTFC,乙,4,Locomotive FC,17,8,3,-9,10,49.706,33,皖北矿务局,3,1998
205,长春亚泰,CCYT,乙,1,Changchun Yatai,2,4,4,2,8,43.333,34,长春亚泰,3,1998
206,惠州超能,HZCN,乙,2,Huizhou Chaoneng,5,7,1,2,6,43.235,35,解放军超能,3,1998
207,安徽乐普生,AHLPS,乙,3,Anhui Lopson,3,14,0,11,6,40.294,36,安徽乐普生,3,1998
208,青岛宝利丰,QDHLF,乙,2,Qingdao Baolifeng,12,8,4,-4,8,32.721,37,青岛海利丰,2,1998
209,河北,HET,乙,1,Hebei Team,10,5,4,-5,7,29.833,38,河北东购,2,1998
210,北京体育大学,BJSU.,乙,3,Beijing Sport University,11,4,4,-7,8,29.167,39,北体大华邦,1,1998
211,北京威克瑞,BJVCR,乙,2,Beijing Victory,3,4,0,1,3,21.667,40,北京威克瑞,1,1998
212,内蒙包钢,NMBTS,乙,1,Neimeng Baotou Steel,5,0,6,-5,8,17.333,41,包钢带钢,1,1998
213,上海宝钢,SHBS,乙,1,Shanghai Baosteel,2,3,0,1,2,15.294,42,上海宝钢,1,1998
214,湖南莱孚,HNLF,乙,2,Hunan Laifu,6,2,2,-4,4,7.6471,43,湖南莱孚,0,1998
215,江苏法尔胜,JSFS,乙,1,Jiangsu Fasten,1,1,1,0,2,3.8235,44,江苏法尔胜,0,1998
216,洛阳猫王,LYMW,乙,1,Luoyang Maowang,0,0,1,0,2,3.8235,45,洛阳猫王,0,1998
217,山西亚宝,SXYB,乙,0,Shanxi Yabao,0,0,0,0,0,0,46,山西亚宝,0,1998
218,北海育青,BHYQ,乙,0,Beihai Yuqing,0,0,0,0,0,0,47,北海育青,0,1998
219,绵阳FC,MYFC,乙,0,Mianyang FC,5,1,2,-4,2,0,48,绵阳丰谷,0,1998
220,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,1999
221,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,1999
222,山东鲁能泰山,SDLT,超,13,Shandong Luneng Taishan,18,45,4,27,34,645,1,山东鲁能泰山,17,1999
223,大连万达实德,DLWD,亚,15,Dalian Wanda Shide,48,49,13,1,40,582.5,2,大连万达实德,12,1999
224,上海申花,SHSH,亚,12,Shanghai Shenhua,32,44,8,12,35,567.5,3,上海申花,15,1999
