,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
708,南京有有,NJYY,甲,5,Nanjing Yoyo,26,25,10,-1,25,219.17,20,南京有有,10,2006
709,青岛海利丰,QDHLF,甲,7,Qingdao Hailifeng,37,26,10,-11,26,218.33,21,青岛海信地产,9,2006
710,重庆力帆,CQLF,超,8,Chongqing Lifan,54,22,18,-32,29,175,22,重庆力帆,3,2006
711,延边FC,YBFC,甲,5,Yanbian FC,22,28,11,6,24,169.17,23,延边,8,2006
712,西藏惠通陆华,XZHL,甲,5,Xizang Huitong Luhua,42,32,13,-10,25,159.17,24,山西沃森路虎,7,2006
713,北京理工大学,BJBIT,乙,8,Beijing BIT,13,45,1,32,21,150.42,25,北京理工大学,12,2006
714,安徽九方,AHJF,乙,5,Anhui Jiufang,16,32,3,16,21,147.08,26,安徽九方,13,2006
715,上海群英,SHST,甲,7,Shanghai Stars,39,15,13,-24,25,135.83,27,上海康博,5,2006
716,大连毅腾,DLYT,乙,7,Dalian Yiteng,16,26,4,10,21,129.17,28,哈药集团毅腾,10,2006
717,南昌八一衡源,SHHY,甲,8,Nanchang Bayi Hengyuan,28,11,13,-17,25,124.17,29,南昌八一,4,2006
718,丽江东巴,LJDB,乙,2,Lijiang Dongba,15,30,5,15,18,118.33,30,云南丽江东巴,11,2006
719,北京宏登,BJHD,甲,7,Beijing Hongdeng,42,18,14,-24,25,118.33,31,北京燕捷圣,4,2006
720,天津火车头,TJHCT,乙,10,Tianjin Locomotive,20,32,3,12,21,112.5,32,天津火车头,8,2006
721,武汉雅琪,WHYQ,乙,4,Wuhan Yaqi,18,25,5,7,18,103.33,33,武汉雅琪,9,2006
722,深圳宝安沙井壆岗,SZBG,丙,2,Shenzhen Bogang,16,41,0,25,10,98,34,深圳壆岗,8,2006
723,宁波华奥,NBHA,乙,4,Ningbo Huaao,24,26,6,2,18,95,35,宁波华奥,8,2006
724,湖南山川湘军,HNSK,甲,9,Hunan Shoking,33,16,13,-17,24,87.5,36,湖南湘军,2,2006
725,四川FC,SCFC,乙,5,Sichuan FC,19,20,4,1,16,86.667,37,四川FC,7,2006
726,青岛海鲨,QDSS,乙,7,Qingdao Sea Shark,17,14,5,-3,18,85,38,河北雪驰,6,2006
727,昆明交警,KMTP,丙,4,Kunming traffic,11,26,1,15,10,84.75,39,昆明交警,5,2006
728,北京巴士,BJBS,乙,7,Beijing Bus,13,19,4,6,16,73.333,40,北京巴士,5,2006
729,新疆体彩,XJTC,乙,4,Xinjiang Ticai,16,17,6,1,16,73.333,41,新疆体彩,6,2006
730,长春师范学院,CCNU.,丙,3,Changchun Normal U.,9,18,2,9,9,66.5,42,长春师范学院,4,2006
731,杭州赛博,HZSB,丙,2,Hangzhou Sinobal,10,15,4,5,10,65,43,杭州赛博,4,2006
732,广西天基,GXBA,乙,3,Guangxi Based,27,20,8,-7,16,60,44,广西天基天贺高速,5,2006
733,武汉东风本田,WHDH,丙,1,Wuhan Dongfeng Honda,9,31,2,22,8,57.5,45,武汉东风本田,5,2006
734,上海东亚,SHEA,乙,5,Shanghai East Asia,29,26,8,-3,16,46.667,46,上海东亚,3,2006
735,天津东丽,TJDL,乙,5,Tianjin Dongli,18,9,8,-9,16,46.667,47,天津东丽奥瑞克,3,2006
736,苏州趣普仕,SZTPS,乙,1,Suzhou Trips,32,16,11,-16,16,43.333,48,苏州派尔劲,4,2006
737,天津世拓,TJST,丙,1,Tianjin ShiTuo,3,16,0,13,5,41.25,49,天津世拓,4,2006
738,青岛黎明,QDLM,乙,2,Qingdao Liming,35,11,11,-24,16,36.667,50,青岛黎明临淄,3,2006
739,天津铁路第一招待所,TJRFH,丙,3,Tianjin Railway First Hotel,8,9,2,1,7,33,51,天津铁路一招,2,2006
740,辽宁中巴,LNZB,乙,0,Liaoning Zhongba,33,12,13,-21,16,30,52,辽宁圣保罗,3,2006
741,广东海丰仁荣,HFRR,丙,0,Haifeng Renrong MS.,36,9,6,-27,8,26.5,53,广东海丰仁荣,2,2006
742,武汉华创工程,HBHC,丙,1,Hubei Huachuang,12,16,2,4,5,26.25,54,武汉华创工程,2,2006
743,武汉博发,WHBF,丙,0,Wuhan Bofa,12,10,2,-2,4,22.5,55,武汉博发松下,2,2006
744,重庆新华书店集团,CQXH,丙,2,Chongqing Xinhua Bookstore G.,4,6,1,2,4,17.5,56,重庆新华集团,1,2006
745,宁波慈溪中豹,CXZB,乙,5,Cixi Zhongbao,23,4,11,-19,16,16.667,57,宁波中豹,0,2006
746,昆明春城印刷厂,CCPP,丙,0,Chuncheng Printing Plant,16,7,3,-9,4,12.5,58,昆明春城印刷厂,1,2006
747,云南金城矿业,YNJC,丙,1,Yunnan Jincheng,13,3,2,-10,3,8,59,云南金城/隆鑫矿业,0,2006
748,重庆三木,CQSM,丙,1,Chongqing Sanmu,14,3,3,-11,4,7.5,60,重庆三木,0,2006
749,昆明第一中学,KMN1S.,丙,1,Kunming No.1 MS.,21,4,3,-17,4,7.5,61,昆明海华酒店,0,2006
750,武汉东西湖将军路街,WHGRC,丙,0,Wuhan General Road C.,16,6,4,-10,4,5,62,武汉将军路街,0,2006
751,安徽宣城城建,XCUC,丙,0,Xuancheng Urban Construction,12,2,3,-10,3,2.5,63,安徽宣城城建,0,2006
752,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2007
753,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2007
754,山东鲁能泰山,SDLT,亚,7,Shandong Luneng Taishan,43,72,10,29,37,707.5,1,山东鲁能泰山,20,2007
755,上海申花SVA文广,SHSW,亚,12,Shanghai Shenhua SVA WG,36,49,10,13,37,587.5,2,上海申花,15,2007
756,长春亚泰,CCYT,超,7,Changchun Yatai,25,48,5,23,28,550,3,长春亚泰,16,2007
757,北京国安,BJGA,超,9,Beijing Guoan,19,45,4,26,28,540,4,北京国安,15,2007
758,天津泰达,TJTED,超,8,Tianjin TEDA,22,31,8,9,28,440,5,天津康师傅,12,2007
759,大连实德,DLSD,超,11,Dalian Shide,31,36,6,5,28,440,6,大连实德,11,2007
760,湖北武汉职业,WHPFC,超,7,Wuhan Professional FC,31,29,10,-2,28,400,7,武汉光谷,11,2007
761,青岛中能,QDJN,超,6,Qingdao Jonoon,42,36,12,-6,28,360,8,青岛工艺品城,10,2007
762,辽宁FC,LNFC,超,8,Liaoning FC,36,26,11,-10,28,350,9,辽宁西洋,9,2007
763,长沙金德,SYGD,超,10,Changsha Ginde,24,17,10,-7,28,340,10,长沙金德,8,2007
764,广州医药,GZYY,甲,4,Guangzhou Pharmaceuticals,15,62,1,47,23,338.33,11,广州广药,18,2007
765,成都谢菲联,CDBD,甲,7,Chengdu Blades,14,51,1,37,23,303.33,12,成都谢菲联,15,2007
766,浙江绿城,ZJGT,超,10,Hangzhou Greentown,35,25,12,-10,28,280,13,浙江巴贝绿城房产,6,2007
767,河南建业,HAJY,超,12,Henan Construction,28,20,11,-8,28,270,14,河南四五老窖,5,2007
768,江苏舜天,JSST,甲,6,Jiangsu Sainty,21,38,4,17,23,262.5,15,江苏舜天,13,2007
769,陕西宝荣浐霸,SNBR,超,14,Shaanxi Baorong Chanba,29,24,10,-5,28,260,16,陕西中新浐灞,4,2007
770,深圳香雪上清饮,SZFC2,超,10,Shenzhen Xiangxue SQY,42,21,13,-21,28,250,17,深圳香雪上清饮,5,2007
771,重庆力帆,CQLF,甲,5,Chongqing Lifan,22,31,6,9,23,239.17,18,重庆力帆,12,2007
772,厦门FC,XMFC,超,8,Xiamen FC,46,22,16,-24,28,200,19,厦门蓝狮,4,2007
773,南昌八一衡源,SHHY,甲,6,Nanchang Bayi Hengyuan,26,23,8,-3,23,192.5,20,南昌八一,9,2007
774,延边FC,YBFC,甲,6,Yanbian FC,35,36,9,1,24,192.5,21,延边,9,2007
775,青岛海利丰,QDHLF,甲,3,Qingdao Hailifeng,36,24,11,-12,23,175,22,青岛海信地产,9,2007
776,上海群英,SHST,甲,5,Shanghai Stars,37,23,12,-14,23,134.17,23,上海七斗星,6,2007
777,上海东亚,SHEA,乙,4,Shanghai East Asia,15,35,2,20,17,125.45,24,上海东亚,11,2007
778,北京宏登,BJHD,甲,6,Beijing Hongdeng,31,18,12,-13,23,122.5,25,北京宏登BH,5,2007
779,南京有有,NJYY,甲,6,Nanjing Yoyo,39,23,12,-16,23,122.5,26,南京有有,5,2007
780,四川FC,SCFC,乙,3,Sichuan FC,10,30,2,20,15,119.5,27,四川FC,10,2007
781,安徽九方,AHJF,乙,5,Anhui Jiufang,19,27,5,8,20,119.25,28,安徽九华山,10,2007
782,北京理工大学,BJBIT,甲,7,Beijing BIT,40,24,12,-16,23,110.83,29,北京爱国者,4,2007
783,深圳宝安沙井壆岗,SZBG,丙,1,Shenzhen Bogang,4,30,0,26,10,108.5,30,深圳壆岗,9,2007
784,广西天基,GXBA,乙,4,Guangxi Based,27,23,8,-4,20,93.5,31,广西天基,8,2007
785,大连毅腾,DLYT,甲,7,Dalian Yiteng,36,15,13,-21,23,93.333,32,哈尔滨毅腾,3,2007
786,新疆体彩,XJTC,乙,4,Xinjiang Ticai,17,27,4,10,16,91.591,33,新疆体彩,8,2007
787,天津东丽,TJDL,乙,3,Tianjin Dongli,18,24,5,6,16,86.364,34,天津东丽奥瑞特,8,2007
788,南京宝泰,NJBT,丙,2,Nanjing Baotai,8,16,2,8,10,82,35,南京宝泰河海,6,2007
789,延吉法院,YJFY,丙,4,Yanji Courts,9,17,1,8,10,79.5,36,延吉法院,5,2007
790,天津火车头,TJHCT,乙,3,Tianjin Locomotive,13,22,6,9,16,78.182,37,天津泰丽达,7,2007
791,景德镇神话网络,JDZMN,丙,4,Jingdezhen Myth Network,8,10,2,2,10,66,38,景德镇神话网络,4,2007
792,湖南湘涛,HNBL,乙,4,Hunan Billows,8,9,5,1,14,66,39,湖南湘涛,5,2007
793,郑州大学西亚斯学院,SIASU.,丙,0,Sias International U.,16,9,5,-7,9,63,40,郑州大学西亚斯学院,4,2007
794,天津松江,TJSJ,乙,6,Tianjin Songjiang,19,19,4,0,14,57.273,41,呼和浩特滨海,4,2007
795,杭州三超,HZSC,乙,3,Hangzhou Sanchao,20,18,6,-2,14,57.273,42,杭州三超小青,5,2007
796,长春师范学院,CCNU.,丙,3,Changchun Normal U.,18,22,3,4,9,56,43,长春师范学院,3,2007
797,云南云铜勘查,YNCE,丙,1,Yunnan Copper Exploration,14,15,5,1,10,53.5,44,云南云铜勘查,4,2007
798,宁波华奥,NBHA,乙,3,Ningbo Huaao,14,11,5,-3,12,52.5,45,宁波华奥,4,2007
799,武汉东风本田,WHDH,丙,4,Wuhan Dongfeng Honda,15,11,4,-4,10,46.5,46,武汉东风本田,2,2007
800,苏州趣普仕,SZTPS,乙,1,Suzhou Trips,17,7,7,-10,12,45.5,47,苏州趣普仕,4,2007
801,镇江中安,ZJGW,乙,3,Zhenjiang Groupway,23,12,8,-11,14,38.182,48,镇江中安,3,2007
802,江西电视台康都,JXTV,丙,0,Jiangxi TV Kangdu,8,10,2,2,5,27.5,49,江西电视台康都,3,2007
803,广东日之泉,GDSC,乙,1,Guangdong Sunray Cave,21,11,9,-10,12,24.5,50,佛山传媒,2,2007
804,杭州赛博,HZSB,丙,1,Hangzhou Sinobal,7,7,2,0,5,22.5,51,杭州赛博,2,2007
805,山东大学,SDU.,校,0,Shandong U.,4,4,2,0,4,20,52,山东大学,2,2007
806,广东海丰仁荣,HFRR,丙,0,"Haifeng Renrong
  MS.",9,5,3,-4,5,20,53,广东海丰仁荣,2,2007
807,三峡大学,TGU.,校,1,Three Gorges U.,4,4,2,0,4,15,54,三峡大学,1,2007
808,台州王野,TZWY,丙,1,Taizhou Wangye,10,3,3,-7,5,15,55,台州王野,1,2007
809,甘肃政法学院,GSIPL.,丙,1,Gansu Institute of PS & L,3,1,2,-2,4,13.75,56,甘肃政法学院,1,2007
810,青岛黎明,QDLM,乙,2,Qingdao Liming,41,7,12,-34,14,6.3636,57,青岛黎明,0,2007
811,西安申鹏,XACN,丙,1,xi'an Canaan,3,0,1,-3,2,5,58,西安申鹏,0,2007
812,福建天信,FJTX,丙,1,Fujian Tianxing,9,5,3,-4,4,5,59,福建天信,0,2007
813,宁夏足协,NXFA.,丙,0,Ningxia FA Team,4,0,2,-4,2,2.5,60,宁夏,0,2007
814,重庆建设雅马哈,CQJY,丙,0,Chongqing Jianshe Yamaha,5,0,2,-5,2,2.5,61,重庆建设雅马哈,0,2007
815,安徽康吉森,AHCS,丙,0,Anhui Consen,11,0,4,-11,4,2.5,62,安徽康吉森,0,2007
816,西藏惠通陆华,XZHL,甲,4,Xizang Huitong Luhua,24,8,8,-16,13,0,63,呼和浩特黑马,1,2007
817,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2008
818,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2008
819,北京国安,BJGA,亚,14,Beijing Guoan,30,50,4,20,36,722.5,1,北京国安,18,2008
820,山东鲁能泰山,SDLT,超,9,Shandong Luneng Taishan,25,50,3,25,29,600,2,山东鲁能泰山,17,2008
821,上海申花联盛,SHSW,超,10,Shanghai Shenhua Liansheng,29,53,3,24,29,580,3,上海申花联盛,16,2008
822,长春亚泰,CCYT,亚,12,Changchun Yatai,48,57,10,9,35,552.5,4,长春亚泰,13,2008
823,天津泰达,TJTED,超,9,Tianjin TEDA,30,50,5,20,29,540,5,天津康师傅,15,2008
824,陕西宝荣浐霸,SNBR,超,7,Shaanxi Baorong Chanba,29,37,8,8,30,520,6,陕西中新,15,2008
825,广州医药,GZYY,超,10,Guangzhou Pharmaceuticals,44,40,10,-4,30,400,7,广州医药中一,10,2008
826,江苏舜天,JSST,甲,2,Jiangsu Sainty,24,56,3,32,24,368.75,8,江苏舜天国信,19,2008
827,浙江绿城,ZJGT,超,12,Hangzhou Greentown,32,34,9,2,29,360,9,浙江巴贝绿城房产,8,2008
828,青岛中能,QDJN,超,10,Qingdao Jonoon,37,34,11,-3,29,340,10,青岛盛文中能,8,2008
829,河南建业,HAJY,超,10,Henan Construction,32,25,12,-7,29,310,11,河南四五老窖,7,2008
830,深圳香雪上清饮,SZFC2,超,10,Shenzhen Xiangxue SQY,35,30,13,-5,29,280,12,深圳上清饮,6,2008
831,长沙金德,SYGD,超,13,Changsha Ginde,37,22,11,-15,29,280,13,长沙金德,5,2008
832,成都谢菲联,CDBD,超,12,Chengdu Blades,38,25,12,-13,29,270,14,成都谢菲联,5,2008
833,重庆力帆,CQLF,甲,7,Chongqing Lifan,19,34,5,15,24,268.75,15,重庆诗仙太白,12,2008
834,南昌八一衡源,SHHY,甲,9,Nanchang Bayi Hengyuan,24,37,4,13,24,262.5,16,南昌八一衡源,11,2008
835,大连实德,DLSD,超,13,Dalian Shide,41,25,12,-16,29,250,17,大连海昌国际,4,2008
836,辽宁FC,LNFC,超,9,Liaoning FC,47,29,15,-18,29,240,18,辽宁宏运,5,2008
837,安徽九方,AHJF,甲,9,Anhui Jiufang,37,33,8,-4,24,187.5,19,安徽九方,7,2008
838,四川FC,SCFC,甲,8,Sichuan FC,36,27,9,-9,24,181.25,20,四川智谷川大,7,2008
839,上海东亚,SHEA,甲,7,Shanghai East Asia,30,26,10,-4,24,175,21,上海东亚,7,2008
840,青岛海利丰,QDHLF,甲,7,Qingdao Hailifeng,38,33,10,-5,24,175,22,青岛海利丰,7,2008
841,延边FC,YBFC,甲,4,Yanbian FC,39,32,12,-7,24,175,23,延边FC,8,2008
842,北京理工大学,BJBIT,甲,7,Beijing BIT,39,27,10,-12,24,175,24,北京理工爱国者,7,2008
843,南京有有,NJYY,甲,9,Nanjing Yoyo,38,35,9,-3,24,168.75,25,南京有有,6,2008
844,上海中邦,SHZB,甲,6,Shanghai Zobon,33,24,11,-9,24,168.75,26,无锡中邦,7,2008
845,北京宏登,BJHD,甲,11,Beijing Hongdeng,24,24,8,0,24,162.5,27,北京宏登燕捷圣,5,2008
846,大连毅腾,DLYT,甲,10,Dalian Yiteng,35,28,9,-7,24,156.25,28,烟台毅腾飓风,5,2008
847,沈阳东进,SYDJ,乙,5,Shenyang Dongjin,8,25,1,17,17,143.04,29,沈阳东进,11,2008
848,广东日之泉,GDSC,乙,4,Guangdong Sunray Cave,18,38,2,20,17,135.71,30,广东日之泉,11,2008
849,天津松江,TJSJ,乙,2,Tianjin Songjiang,14,36,4,22,18,131.07,31,天津团泊新城,12,2008
850,湖南湘涛,HNBL,乙,1,Hunan Billows,18,25,7,7,18,112.5,32,湖南湘涛,10,2008
851,天津火车头,TJHCT,乙,2,Tianjin Locomotive,21,34,9,13,21,112.14,33,天津火车头,10,2008
852,石家庄天工,SJZTG,乙,5,Shijiazhuang Tiangong,18,23,3,5,16,102.86,34,河北衡水老白干,8,2008
853,贵州智诚,GZZC,乙,4,Guizhou Zhicheng,22,24,4,2,16,99.286,35,贵州智诚,8,2008
854,杭州三超,HZSC,乙,4,Hangzhou Sanchao,19,21,5,2,16,91.786,36,杭州三超小青,7,2008
855,武汉东风本田,WHDH,丙,4,Wuhan Dongfeng Honda,11,24,1,13,10,78.5,37,武汉东风本田,5,2008
856,苏州趣普仕,SZTPS,乙,5,Suzhou Trips,15,17,4,2,14,71.429,38,苏州趣普仕中安,5,2008
857,郑州大学西亚斯学院,SIASU.,丙,1,Sias International U.,15,17,2,2,8,70,39,郑州大学西亚斯学院,5,2008
858,西安四达,XAST,乙,4,Shaanxi Star,17,21,5,4,14,67.857,40,西安世园,5,2008
859,延吉法院,YJFY,丙,0,Yanji Courts,12,25,3,13,7,65,41,延吉法院,4,2008
860,吉林珲春,JLHC,丙,2,Jilin Hunchun Team,11,18,1,7,7,64,42,吉林珲春,4,2008
861,新疆体彩,XJTC,乙,5,Xinjiang Ticai,19,12,5,-7,14,60.714,43,新疆体彩,4,2008
862,绍兴天翔嘉誉,SXTX,丙,3,Shaoxing Tianxiang Jiayu,5,17,0,12,5,48,44,绍兴天翔嘉誉,2,2008
863,三峡大学,TGU.,校,0,Three Gorges U.,5,11,2,6,7,46.25,45,三峡大学康天电力,5,2008
864,河南瑞华防雷,HARH,丙,1,Henan Ruihua,24,15,6,-9,9,38.5,46,河南瑞华防雷,2,2008
865,景德镇恒远,JDZHF,丙,1,Jingdezhen H-Forever,3,10,0,7,5,35,47,景德镇恒远,4,2008
866,温州苍南灵溪,CNLX,丙,2,Cangnan Lingxi Team,38,14,7,-24,10,33,48,灵溪盛宇\浙江大发,1,2008
867,温州明日,WZTM,乙,3,Wenzhou Tomorrow,17,7,9,-10,14,32.143,49,温州明日,2,2008
868,天津东丽,TJDL,乙,2,Tianjin Dongli,21,7,10,-14,14,28.571,50,天津东丽奥瑞克,2,2008
869,上海足协,SHFA.,丙,3,Shanghai FA Team,5,11,0,6,5,25,51,上海博锦房产,2,2008
870,宁波华奥联,NBHA,乙,4,Ningbo Huaao United,25,10,9,-15,14,25,52,宁波华奥联,1,2008
871,湛江天地壹号,ZJTD,乙,1,Zhanjiang Tiandi No.1,31,4,11,-27,14,25,53,湛江天地壹号,2,2008
872,南昌理工学院,NCTI.,丙,0,Nanchang I of T,16,3,4,-13,5,24,54,南昌理工学院,1,2008
873,江西电视台康都,JXTV,丙,2,Jiangxi TV Kangdu,7,12,1,5,5,22.5,55,江西电视台康都,2,2008
874,南京宝泰,NJBT,乙,1,Nanjing Baotai,28,6,12,-22,14,14.286,56,南京宝泰河海,1,2008
875,昆明交警,KMTP,丙,0,Kunming traffic,0,2,0,2,1,10,57,昆明交警,1,2008
876,湖南足协,HNFA.,丙,1,Hunan FA Team,15,5,4,-10,5,5,58,郴州大唐商贸,0,2008
877,甘肃政法学院,GSIPL.,丙,0,Gansu Institute of PS & L,2,0,1,-2,1,2.5,59,甘肃政法学院,0,2008
878,陕西宝成,SNBC,丙,0,Shaanxi Baocheng,2,0,1,-2,1,2.5,60,陕西宝成,0,2008
879,深圳大学,SZU.,校,0,Shenzhen U.,6,1,2,-5,2,2.5,61,深圳大学富通地产,0,2008
880,青海高纬度,QHHL,丙,0,Qinghai High Latitudes,7,0,2,-7,2,2.5,62,西宁市国土资源局,0,2008
881,湖北武汉职业,WHPFC,超,6,Wuhan Professional FC,21,10,10,-11,18,0,63,武汉光谷南益,2,2008
882,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2009
883,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2009
884,北京国安,BJGA,亚,14,Beijing Guoan,33,52,8,19,36,585,1,北京国安,14,2009
885,上海申花联盛,SHSW,亚,11,Shanghai Shenhua Liansheng,37,48,11,11,36,562.5,2,上海申花联盛,14,2009
886,天津泰达,TJTED,亚,11,Tianjin TEDA,34,42,11,8,36,562.5,3,天津康师傅,14,2009
887,山东鲁能泰山,SDLT,亚,13,Shandong Luneng Taishan,42,46,12,4,38,557.5,4,山东鲁能泰山,13,2009
888,长春亚泰,CCYT,超,8,Changchun Yatai,31,38,8,7,30,500,5,长春亚泰,14,2009
889,河南建业,HAJY,超,9,Henan Construction,26,35,8,9,30,480,6,河南建业,13,2009
890,成都谢菲联,CDBD,超,6,Chengdu Blades,39,32,13,-7,30,390,7,成都建工地产,11,2009
891,大连实德,DLSD,超,10,Dalian Shide,36,31,15,-5,36,380,8,大连实德,11,2009
892,陕西宝荣浐霸,SNBR,超,10,Shaanxi Baorong Chanba,24,26,11,2,30,370,9,陕西中新/绿地浐霸,9,2009
893,江苏舜天,JSST,超,10,Jiangsu Sainty,30,30,11,0,30,370,10,江苏舜天国信,9,2009
894,深圳亚旅,SZFC2,超,10,Shenzhen Asia Travel,40,36,10,-4,30,370,11,深圳乐君,10,2009
895,广州医药,GZYY,超,12,Guangzhou Pharmaceuticals,46,47,13,1,36,370,12,广州医药白云山,11,2009
896,青岛中能,QDJN,超,12,Qingdao Jonoon,36,36,10,0,30,360,13,青岛中能,8,2009
897,辽宁FC,LNFC,甲,3,Liaoning FC,17,49,3,32,24,356.25,14,辽宁宏运,18,2009
898,长沙金德,SYGD,超,15,Changsha Ginde,31,23,9,-8,30,330,15,长沙金德,6,2009
899,杭州绿城,ZJGT,超,8,Hangzhou Greentown,43,30,14,-13,30,320,16,杭州绿城房产,8,2009
900,南昌八一衡源,SHHY,甲,5,Nanchang Bayi Hengyuan,22,48,5,26,24,293.75,17,南昌八一,14,2009
901,重庆力帆,CQLF,超,8,Chongqing Lifan,51,27,15,-24,30,290,18,重庆诗仙太白,7,2009
902,上海东亚,SHEA,甲,5,Shanghai East Asia,25,43,6,18,24,275,19,上海东亚,13,2009
903,沈阳东进,SYDJ,甲,8,Shenyang Dongjin,21,39,4,18,24,275,20,沈阳东进,12,2009
904,广东日之泉,GDSC,甲,5,Guangdong Sunray Cave,37,37,9,0,24,218.75,21,广东日之泉,10,2009
905,延边FC,YBFC,甲,8,Yanbian FC,30,29,9,-1,24,181.25,22,延边FC,7,2009
906,安徽九方,AHJF,甲,8,Anhui Jiufang,44,35,9,-9,24,181.25,23,安徽九方,7,2009
907,北京理工大学,BJBIT,甲,7,Beijing BIT,33,29,10,-4,24,175,24,北京理工贵人鸟,7,2009
908,上海中邦,SHZB,甲,6,Shanghai Zobon,35,23,11,-12,24,168.75,25,浦东中邦,7,2009
909,青岛海利丰,QDHLF,甲,5,Qingdao Hailifeng,45,38,12,-7,24,162.5,26,青岛海利丰,7,2009
910,北京宏登,BJHD,甲,7,Beijing Hongdeng,36,26,12,-10,24,137.5,27,北京燕捷胜,5,2009
911,湖北绿茵,HBGN,乙,5,Hubei Greenery,2,17,0,15,13,128.38,28,湖北绿茵,8,2009
912,南京有有,NJYY,甲,9,Nanjing Yoyo,40,23,10,-17,24,112.5,29,南京有有,5,2009
913,湖南湘涛,HNBL,乙,9,Hunan Billows,17,30,2,13,17,109.93,30,湖南湘涛,6,2009
914,杭州三超,HZSC,乙,7,Hangzhou Sanchao,18,19,5,1,19,107.7,31,杭州三超小青,7,2009
915,北京八喜盛世,BJBX,乙,3,Beijing Baxy,22,28,4,6,15,105.39,32,北京八喜朝阳,8,2009
916,四川FC,SCFC,甲,4,Sichuan FC,60,26,16,-34,24,100,33,四川智谷川大,4,2009
917,贵州智诚,GZZC,乙,7,Guizhou Zhicheng,8,15,3,7,14,79.265,34,贵州智诚,4,2009
918,三峡大学,TGU.,乙,3,Three Gorges U.,11,8,4,-3,12,76.176,35,三大康天,5,2009
919,天津松江,TJSJ,乙,7,Tianjin Songjiang,15,18,3,3,14,76.053,36,天津松江,4,2009
920,武汉东风本田,WHDH,丙,0,Wuhan Dongfeng Honda,5,17,2,12,8,71.5,37,武汉东风本田,6,2009
921,火车头,TJHCT,乙,5,Locomotive,18,14,5,-4,14,68.158,38,火车头雅琪,4,2009
922,武汉宏兴,WHHX,丙,1,Wuhan Hongxing,6,19,1,13,7,68,39,武汉宏兴,5,2009
923,武汉华创工程,HBHC,丙,2,Hubei Huachuang,7,16,2,9,8,62.75,40,武汉华创工程,4,2009
924,大连毅腾,DLYT,乙,2,Dalian Yiteng,15,17,6,2,12,55.263,41,大连毅腾,4,2009
925,北京宏宾伟业路虎,BJHWL,丙,2,Beijing Hongbin Weiye Luhu,8,17,2,9,8,54,42,北京宏宾伟业海盈阁,4,2009
926,青海高纬度,QHHL,丙,0,Qinghai High Latitudes,15,12,4,-3,8,52,43,青海三榆集团,4,2009
927,盘锦盟尊,PJMZ,乙,1,Panjing Mengzun,19,10,7,-9,12,51.316,44,盘锦盟尊,4,2009
928,温州明日,WZTM,乙,1,Wenzhou Tomorrow,17,9,6,-8,10,44.118,45,温州明日,3,2009
929,青岛青科,QUST,乙,5,Qingdao University of S&T ,10,6,5,-4,12,43.421,46,青岛科技大学,2,2009
930,洛阳气象局防雷,LYFL,丙,3,Luoyang Lightning,11,8,3,-3,8,41.5,47,河南南华置业/河南气象,2,2009
931,九江联盛,JJLS,丙,2,Jiujiang Liansheng,14,9,3,-5,7,41,48,九江联盛,2,2009
932,陕西宝成,SNBC,丙,2,Shaanxi Baocheng,0,5,0,5,4,25,49,陕西宝成,2,2009
933,延边大学,YBU.,校,1,Yanbian U.,8,8,1,0,4,22.5,50,延边大学,2,2009
934,四川省三台县,SCST,丙,0,Sichuan Santai Team,21,7,7,-14,8,20.5,51,四川省三台县,1,2009
935,延吉法院,YJFY,丙,2,Yanji Courts,0,8,0,8,3,15,52,延吉法院,1,2009
936,青岛衡业,QDHY,丙,1,Qingdao Hengye,2,4,1,2,3,12.5,53,青岛衡业黄海制药,1,2009
937,河南瑞华防雷,HARH,丙,1,Henan Ruihua,7,7,1,0,3,12.5,54,郑州豫能瑞华防雷,1,2009
938,嘉兴米萝咖啡,JXML,丙,0,Jiaxin Milo Coffee,7,4,1,-3,2,10,55,嘉兴米萝咖啡,1,2009
939,宁波华奥联,NBHA,乙,2,Ningbo Huaao United,18,3,8,-15,10,8.8235,56,宁波华奥联,0,2009
940,青海红花,QHHH,丙,0,Qinghai Honghua,16,1,4,-15,4,5,57,青海金鑫矿业,0,2009
941,河海大学,HHU.,校,0,Hohai U.,7,3,2,-4,2,2.5,58,河海大学,0,2009
942,合肥迅达地平线,HFSH,丙,0,Hefei Schindler Horizon,16,1,3,-15,3,2.5,59,合肥迅达地平线,0,2009
943,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2010
944,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2010
