,age,country,countryZh,loan,marketValue,mfClubId,mfClubName,miClubId,miClubName,playerId,playerMainPosition,playerName,premium,premiumRate,transferDate,transferFee,transferFeeValue,year
178,23,China,中国,,3万,,GD Sunray Cave,43.0,北京人和,9028,后腰,史亮,-3万,-100,2013-02-12,0,0.0,12
179,27,China,中国,,,,SY Zhongze,627.0,贵州恒丰,8996,中后卫,郝强,,-,2013-02-11,,,12
180,31,China,中国,,5万,46.0,天津泰达,44.0,长春亚泰,1109,门将,宋振瑜,-5万,-100,2013-02-07,,,12
181,20,China,中国,出租,3万,44.0,长春亚泰,,LJ Jiayunhao,6845,门将,祎凡,,-,2013-02-07,,,12
182,29,Sierra Leone,塞拉利昂,,125万,65.0,奥格斯堡,48.0,河南建业,1255,中后卫,桑科,-125万,-100,2013-02-06,0,0.0,12
183,24,China,中国,,5万,50.0,上海绿地申花,1252.0,武汉卓尔,19474,中后卫,邱添一,55万,1100,2013-02-05,60万,600000.0,12
184,29,Albania,阿尔巴尼亚,,110万,828.0,华盛顿特区联,53.0,江苏苏宁,24117,中锋,萨利赫,-110万,-100,2013-02-04,,,12
185,29,Syria,叙利亚,,40万,,Zakho FC,50.0,上海绿地申花,45276,中锋,Firas Al-Khatib,-40万,-100,2013-02-04,,,12
186,29,Brazil,巴西,,,203.0,克里西乌马,44.0,长春亚泰,6261,中锋,泽·卡洛斯,,-,2013-02-03,,,12
187,26,Brazil,巴西,,15万,,Oeste,46.0,天津泰达,1186,左后卫,艾德·利马,-15万,-100,2013-02-02,,,12
188,27,Brazil,巴西,,150万,190.0,格雷米奥,42.0,北京国安,8245,中锋,安德烈·利马,-150万,-100,2013-02-01,,,12
189,30,Portugal,葡萄牙,,100万,42.0,北京国安,,Without Club,3720,右边锋,马努,-100万,-100,2013-02-01,,,12
190,18,China,中国,,10万,,Shanghai Pudong,45.0,上海上港,1452,左边锋,吴毅臻,-10万,-100,2013-02-01,,,12
191,19,China,中国,,10万,,Shanghai Pudong,45.0,上海上港,1468,中后卫,胡博文,-10万,-100,2013-02-01,,,12
192,19,China,中国,,10万,1391.0,大连实德,52.0,大连一方,1373,右边锋,孙国文,-10万,-100,2013-02-01,,,12
193,27,China,中国,,5万,52.0,大连一方,1257.0,青岛黄海,8936,门将,于子千,-5万,-100,2013-02-01,,,12
194,32,China,中国,出租,3万,51.0,广州富力,,Shenzhen Fengpe,33373,,黄隆,,-,2013-02-01,,,12
195,24,China,中国,,3万,55.0,杭州绿城,213.0,河北华夏幸福,6782,中锋,谈杨,-3万,-100,2013-02-01,0,0.0,12
196,19,China,中国,,3万,45.0,上海上港,,上海上港预备队,1154,左后卫,张卫,-3万,-100,2013-02-01,,,12
197,24,China,中国,出租,3万,52.0,大连一方,627.0,贵州恒丰,6727,右中场,孙昊晟,,-,2013-02-01,,,12
198,23,China,中国,出租,3万,52.0,大连一方,1257.0,青岛黄海,6683,左后卫,姜文骏,,-,2013-02-01,,,12
199,25,China,中国,出租,,56.0,浙江毅腾,213.0,河北华夏幸福,1108,中锋,吴丁卯,,-,2013-02-01,,,12
200,17,China,中国,,,43.0,北京人和,,Renhe Reserve,1083,左边锋,向汉天,,-,2013-02-01,,,12
201,21,China,中国,,3万,50.0,上海绿地申花,54.0,上海申鑫,1458,右中场,刘峻楠,-3万,-100,2013-01-31,0,0.0,12
202,23,China,中国,,,1451.0,成都天诚,51.0,广州富力,1353,后腰,冯卓毅,120万,-,2013-01-31,120万,1200000.0,12
203,29,Bosnia-Herzegovina,波黑,,30万,216.0,延边富德,627.0,贵州恒丰,33431,中锋,Ivan Bozic,-30万,-100,2013-01-30,0,0.0,12
204,31,China,中国,,5万,44.0,长春亚泰,46.0,天津泰达,1166,门将,宗磊,-5万,-100,2013-01-30,,,12
205,23,China,中国,,3万,1391.0,大连实德,53.0,江苏苏宁,1417,门将,姜灏,4万,140,2013-01-30,6万,60000.0,12
206,28,Ghana,加纳,,30万,669.0,利马索尔,45.0,上海上港,16352,中锋,克里斯·迪克森,-30万,-100,2013-01-29,0,0.0,12
207,34,Cote d'Ivoire,科特迪瓦,,300万,50.0,上海绿地申花,287.0,加拉塔萨雷,28,中锋,德罗巴,-300万,-100,2013-01-28,0,0.0,12
